region,gender,year,method,count
충북,여,2014.0,whole 320mL,12508.0
대전·세종·충남,남,2014.0,whole 320mL,20398.0
대전·세종·충남,여,2014.0,whole 320mL,41880.0
전북,남,2014.0,whole 320mL,9784.0
전북,여,2014.0,whole 320mL,24145.0
광주·전남,남,2014.0,whole 320mL,18415.0
광주·전남,여,2014.0,whole 320mL,52539.0
경남,남,2014.0,whole 320mL,18863.0
경남,여,2014.0,whole 320mL,23487.0
제주,남,2014.0,whole 320mL,3468.0
제주,여,2014.0,whole 320mL,11057.0
대한적십자사 외,남,2014.0,whole 320mL,12025.0
대한적십자사 외,여,2014.0,whole 320mL,36991.0
서울중앙,남,2015.0,whole 320mL,0.0
서울중앙,여,2015.0,whole 320mL,0.0
서울서부,남,2015.0,whole 320mL,24079.0
서울서부,여,2015.0,whole 320mL,74063.0
서울남부,남,2015.0,whole 320mL,11579.0
서울남부,여,2015.0,whole 320mL,36798.0
서울동부,남,2015.0,whole 320mL,22358.0
서울동부,여,2015.0,whole 320mL,69103.0
부산,남,2015.0,whole 320mL,16376.0
부산,여,2015.0,whole 320mL,52436.0
대구·경북,남,2015.0,whole 320mL,21524.0
대구·경북,여,2015.0,whole 320mL,58463.0
인천,남,2015.0,whole 320mL,15474.0
인천,여,2015.0,whole 320mL,44150.0
울산,남,2015.0,whole 320mL,13169.0
울산,여,2015.0,whole 320mL,18159.0
경기,남,2015.0,whole 320mL,25728.0
경기,여,2015.0,whole 320mL,49701.0
강원,남,2015.0,whole 320mL,8425.0
강원,여,2015.0,whole 320mL,22459.0
충북,남,2015.0,whole 320mL,8606.0
충북,여,2015.0,whole 320mL,13228.0
대전·세종·충남,남,2015.0,whole 320mL,17203.0
대전·세종·충남,여,2015.0,whole 320mL,43060.0
전북,남,2015.0,whole 320mL,11396.0
전북,여,2015.0,whole 320mL,23867.0
광주·전남,남,2015.0,whole 320mL,19324.0
광주·전남,여,2015.0,whole 320mL,53061.0
경남,남,2015.0,whole 320mL,17107.0
경남,여,2015.0,whole 320mL,23135.0
제주,남,2015.0,whole 320mL,3458.0
제주,여,2015.0,whole 320mL,11531.0
대한적십자사 외,남,2015.0,whole 320mL,10003.0
대한적십자사 외,여,2015.0,whole 320mL,31484.0
서울중앙,남,2016.0,whole 320mL,0.0
서울중앙,여,2016.0,whole 320mL,0.0
서울서부,남,2016.0,whole 320mL,17108.0
서울서부,여,2016.0,whole 320mL,55004.0
서울남부,남,2016.0,whole 320mL,12956.0
서울남부,여,2016.0,whole 320mL,39799.0
서울동부,남,2016.0,whole 320mL,18541.0
서울동부,여,2016.0,whole 320mL,58122.0
부산,남,2016.0,whole 320mL,14157.0
부산,여,2016.0,whole 320mL,44997.0
대구·경북,남,2016.0,whole 320mL,23534.0
대구·경북,여,2016.0,whole 320mL,52949.0
인천,남,2016.0,whole 320mL,14603.0
인천,여,2016.0,whole 320mL,38111.0
울산,남,2016.0,whole 320mL,11596.0
울산,여,2016.0,whole 320mL,17559.0
경기,남,2016.0,whole 320mL,22892.0
경기,여,2016.0,whole 320mL,41996.0
강원,남,2016.0,whole 320mL,8393.0
강원,여,2016.0,whole 320mL,20825.0
충북,남,2016.0,whole 320mL,8189.0
충북,여,2016.0,whole 320mL,13181.0
대전·세종·충남,남,2016.0,whole 320mL,19222.0
대전·세종·충남,여,2016.0,whole 320mL,49596.0
전북,남,2016.0,whole 320mL,11123.0
전북,여,2016.0,whole 320mL,22330.0
광주·전남,남,2016.0,whole 320mL,19542.0
광주·전남,여,2016.0,whole 320mL,52276.0
경남,남,2016.0,whole 320mL,15344.0
경남,여,2016.0,whole 320mL,22957.0
제주,남,2016.0,whole 320mL,3399.0
제주,여,2016.0,whole 320mL,10949.0
대한적십자사 외,남,2016.0,whole 320mL,11838.0
대한적십자사 외,여,2016.0,whole 320mL,41328.0
서울중앙,남,2017.0,whole 320mL,0.0
서울중앙,여,2017.0,whole 320mL,0.0
서울서부,남,2017.0,whole 320mL,15176.0
서울서부,여,2017.0,whole 320mL,50691.0
서울남부,남,2017.0,whole 320mL,15127.0
서울남부,여,2017.0,whole 320mL,46156.0
서울동부,남,2017.0,whole 320mL,19228.0
서울동부,여,2017.0,whole 320mL,58679.0
부산,남,2017.0,whole 320mL,13249.0
부산,여,2017.0,whole 320mL,44434.0
대구·경북,남,2017.0,whole 320mL,22821.0
대구·경북,여,2017.0,whole 320mL,52084.0
인천,남,2017.0,whole 320mL,12200.0
인천,여,2017.0,whole 320mL,35574.0
울산,남,2017.0,whole 320mL,11435.0
울산,여,2017.0,whole 320mL,16515.0
경기,남,2017.0,whole 320mL,18008.0
경기,여,2017.0,whole 320mL,38950.0
강원,남,2017.0,whole 320mL,8268.0
강원,여,2017.0,whole 320mL,18901.0
충북,남,2017.0,whole 320mL,8491.0
충북,여,2017.0,whole 320mL,13851.0
대전·세종·충남,남,2017.0,whole 320mL,19641.0
대전·세종·충남,여,2017.0,whole 320mL,49410.0
전북,남,2017.0,whole 320mL,11721.0
전북,여,2017.0,whole 320mL,21029.0
광주·전남,남,2017.0,whole 320mL,20668.0
광주·전남,여,2017.0,whole 320mL,52909.0
경남,남,2017.0,whole 320mL,16709.0
경남,여,2017.0,whole 320mL,23672.0
제주,남,2017.0,whole 320mL,3059.0
제주,여,2017.0,whole 320mL,9863.0
대한적십자사 외,남,2017.0,whole 320mL,12540.0
대한적십자사 외,여,2017.0,whole 320mL,41924.0
서울중앙,남,2018.0,whole 320mL,12032.0
서울중앙,여,2018.0,whole 320mL,51237.0
서울서부,남,2018.0,whole 320mL,0.0
서울서부,여,2018.0,whole 320mL,0.0
서울남부,남,2018.0,whole 320mL,13869.0
서울남부,여,2018.0,whole 320mL,43726.0
서울동부,남,2018.0,whole 320mL,17829.0
서울동부,여,2018.0,whole 320mL,57946.0
부산,남,2018.0,whole 320mL,12527.0
부산,여,2018.0,whole 320mL,50428.0
대구·경북,남,2018.0,whole 320mL,21381.0
대구·경북,여,2018.0,whole 320mL,55346.0
인천,남,2018.0,whole 320mL,10469.0
인천,여,2018.0,whole 320mL,33383.0
울산,남,2018.0,whole 320mL,9983.0
울산,여,2018.0,whole 320mL,16904.0
경기,남,2018.0,whole 320mL,15192.0
경기,여,2018.0,whole 320mL,37810.0
강원,남,2018.0,whole 320mL,7573.0
강원,여,2018.0,whole 320mL,18935.0
충북,남,2018.0,whole 320mL,7628.0
충북,여,2018.0,whole 320mL,14111.0
대전·세종·충남,남,2018.0,whole 320mL,18338.0
대전·세종·충남,여,2018.0,whole 320mL,53093.0
전북,남,2018.0,whole 320mL,10513.0
전북,여,2018.0,whole 320mL,20011.0
광주·전남,남,2018.0,whole 320mL,17270.0
광주·전남,여,2018.0,whole 320mL,49905.0
경남,남,2018.0,whole 320mL,16101.0
경남,여,2018.0,whole 320mL,27450.0
제주,남,2018.0,whole 320mL,3351.0
제주,여,2018.0,whole 320mL,8743.0
대한적십자사 외,남,2018.0,whole 320mL,12095.0
대한적십자사 외,여,2018.0,whole 320mL,45757.0
서울중앙,남,2019.0,whole 320mL,12463.0
서울중앙,여,2019.0,whole 320mL,52178.0
서울서부,남,2019.0,whole 320mL,0.0
서울서부,여,2019.0,whole 320mL,0.0
서울남부,남,2019.0,whole 320mL,13088.0
서울남부,여,2019.0,whole 320mL,43215.0
서울동부,남,2019.0,whole 320mL,16761.0
서울동부,여,2019.0,whole 320mL,58046.0
부산,남,2019.0,whole 320mL,11847.0
부산,여,2019.0,whole 320mL,46980.0
대구·경북,남,2019.0,whole 320mL,18447.0
대구·경북,여,2019.0,whole 320mL,52389.0
인천,남,2019.0,whole 320mL,9954.0
인천,여,2019.0,whole 320mL,35993.0
울산,남,2019.0,whole 320mL,10461.0
울산,여,2019.0,whole 320mL,19671.0
경기,남,2019.0,whole 320mL,17480.0
경기,여,2019.0,whole 320mL,44990.0
강원,남,2019.0,whole 320mL,7700.0
강원,여,2019.0,whole 320mL,19355.0
