region,gender,count,year,age_band
광주·전남,여,16585,2007,20대
경남,남,36351,2007,20대
경남,여,4977,2007,20대
제주,남,10807,2007,20대
제주,여,1859,2007,20대
서울중앙,남,21349,2007,30대
서울중앙,여,3764,2007,30대
서울서부,남,19644,2007,30대
서울서부,여,3125,2007,30대
서울남부,남,23019,2007,30대
서울남부,여,3379,2007,30대
서울동부,남,16743,2007,30대
서울동부,여,3954,2007,30대
부산,남,24027,2007,30대
부산,여,2722,2007,30대
대구·경북,남,15075,2007,30대
대구·경북,여,1955,2007,30대
인천,남,12626,2007,30대
인천,여,2240,2007,30대
울산,남,7600,2007,30대
울산,여,913,2007,30대
경기,남,19024,2007,30대
경기,여,2223,2007,30대
강원,남,5400,2007,30대
강원,여,597,2007,30대
충북,남,6340,2007,30대
충북,여,649,2007,30대
대전·세종·충남,남,11664,2007,30대
대전·세종·충남,여,1481,2007,30대
전북,남,9508,2007,30대
전북,여,1097,2007,30대
광주·전남,남,16085,2007,30대
광주·전남,여,2777,2007,30대
경남,남,10779,2007,30대
경남,여,1101,2007,30대
제주,남,3572,2007,30대
제주,여,566,2007,30대
서울중앙,남,7537,2007,40대
서울중앙,여,1261,2007,40대
서울서부,남,6550,2007,40대
서울서부,여,1087,2007,40대
서울남부,남,8006,2007,40대
서울남부,여,1342,2007,40대
서울동부,남,6262,2007,40대
서울동부,여,1997,2007,40대
부산,남,6495,2007,40대
부산,여,1190,2007,40대
대구·경북,남,6129,2007,40대
대구·경북,여,1033,2007,40대
인천,남,4637,2007,40대
인천,여,1122,2007,40대
울산,남,4100,2007,40대
울산,여,458,2007,40대
경기,남,7871,2007,40대
경기,여,1018,2007,40대
강원,남,1881,2007,40대
강원,여,344,2007,40대
충북,남,2922,2007,40대
충북,여,350,2007,40대
대전·세종·충남,남,6029,2007,40대
대전·세종·충남,여,729,2007,40대
전북,남,3091,2007,40대
전북,여,356,2007,40대
광주·전남,남,6292,2007,40대
광주·전남,여,1363,2007,40대
경남,남,4903,2007,40대
경남,여,524,2007,40대
제주,남,1176,2007,40대
제주,여,199,2007,40대
서울중앙,남,2304,2007,50대
서울중앙,여,380,2007,50대
서울서부,남,1929,2007,50대
서울서부,여,263,2007,50대
서울남부,남,2458,2007,50대
서울남부,여,461,2007,50대
서울동부,남,2188,2007,50대
서울동부,여,615,2007,50대
부산,남,2198,2007,50대
부산,여,373,2007,50대
대구·경북,남,1927,2007,50대
대구·경북,여,243,2007,50대
인천,남,1240,2007,50대
인천,여,302,2007,50대
울산,남,1003,2007,50대
울산,여,88,2007,50대
경기,남,1785,2007,50대
경기,여,198,2007,50대
강원,남,602,2007,50대
강원,여,42,2007,50대
충북,남,903,2007,50대
충북,여,83,2007,50대
대전·세종·충남,남,1648,2007,50대
대전·세종·충남,여,148,2007,50대
전북,남,842,2007,50대
전북,여,55,2007,50대
광주·전남,남,1463,2007,50대
광주·전남,여,239,2007,50대
경남,남,1283,2007,50대
경남,여,99,2007,50대
제주,남,328,2007,50대
제주,여,15,2007,50대
서울중앙,남,206,2007,60대
서울중앙,여,26,2007,60대
서울서부,남,225,2007,60대
서울서부,여,20,2007,60대
서울남부,남,283,2007,60대
서울남부,여,25,2007,60대
서울동부,남,191,2007,60대
서울동부,여,17,2007,60대
부산,남,231,2007,60대
부산,여,16,2007,60대
대구·경북,남,144,2007,60대
대구·경북,여,21,2007,60대
인천,남,70,2007,60대
인천,여,3,2007,60대
울산,남,46,2007,60대
울산,여,2,2007,60대
경기,남,141,2007,60대
경기,여,28,2007,60대
강원,남,80,2007,60대
강원,여,4,2007,60대
충북,남,88,2007,60대
충북,여,1,2007,60대
대전·세종·충남,남,144,2007,60대
대전·세종·충남,여,20,2007,60대
전북,남,50,2007,60대
전북,여,5,2007,60대
광주·전남,남,125,2007,60대
광주·전남,여,16,2007,60대
경남,남,16,2007,60대
경남,여,2,2007,60대
제주,남,49,2007,60대
제주,여,0,2007,60대
서울중앙,남,33496,2008,10대
서울중앙,여,25406,2008,10대
서울서부,남,34641,2008,10대
서울서부,여,19494,2008,10대
서울남부,남,28697,2008,10대
서울남부,여,15544,2008,10대
서울동부,남,51614,2008,10대
서울동부,여,38055,2008,10대
부산,남,50059,2008,10대
부산,여,27638,2008,10대
대구·경북,남,44328,2008,10대
대구·경북,여,30076,2008,10대
인천,남,29599,2008,10대
인천,여,20738,2008,10대
울산,남,17904,2008,10대
울산,여,8587,2008,10대
경기,남,33736,2008,10대
경기,여,16281,2008,10대
강원,남,13442,2008,10대
강원,여,5744,2008,10대
충북,남,22623,2008,10대
충북,여,10588,2008,10대
대전·세종·충남,남,46678,2008,10대
대전·세종·충남,여,22226,2008,10대
전북,남,29156,2008,10대
전북,여,15366,2008,10대
광주·전남,남,45631,2008,10대
광주·전남,여,38858,2008,10대
경남,남,28740,2008,10대
경남,여,9981,2008,10대
제주,남,6773,2008,10대
제주,여,5490,2008,10대
서울중앙,남,79020,2008,20대
서울중앙,여,28376,2008,20대
서울서부,남,62409,2008,20대
서울서부,여,17947,2008,20대
서울남부,남,76395,2008,20대
서울남부,여,21459,2008,20대
서울동부,남,56077,2008,20대
서울동부,여,18273,2008,20대
부산,남,71211,2008,20대
부산,여,19825,2008,20대
대구·경북,남,61685,2008,20대
대구·경북,여,21258,2008,20대
인천,남,36653,2008,20대
인천,여,10230,2008,20대
울산,남,24168,2008,20대
울산,여,5047,2008,20대
경기,남,44814,2008,20대
경기,여,10483,2008,20대
강원,남,39657,2008,20대
강원,여,4493,2008,20대
충북,남,33907,2008,20대
충북,여,5978,2008,20대
대전·세종·충남,남,60770,2008,20대
대전·세종·충남,여,14546,2008,20대
전북,남,35394,2008,20대
전북,여,8390,2008,20대
광주·전남,남,58368,2008,20대
광주·전남,여,19001,2008,20대
경남,남,38755,2008,20대
경남,여,5968,2008,20대
제주,남,10543,2008,20대
제주,여,2858,2008,20대
서울중앙,남,23223,2008,30대
서울중앙,여,4980,2008,30대
서울서부,남,20759,2008,30대
서울서부,여,4058,2008,30대
서울남부,남,25557,2008,30대
서울남부,여,4418,2008,30대
서울동부,남,17091,2008,30대
서울동부,여,4442,2008,30대
부산,남,25647,2008,30대
부산,여,3329,2008,30대
대구·경북,남,17431,2008,30대
대구·경북,여,2735,2008,30대
인천,남,13474,2008,30대
인천,여,2504,2008,30대
울산,남,8266,2008,30대
울산,여,999,2008,30대
경기,남,19850,2008,30대
경기,여,2913,2008,30대
강원,남,5376,2008,30대
강원,여,759,2008,30대
충북,남,6430,2008,30대
충북,여,799,2008,30대
대전·세종·충남,남,15028,2008,30대
대전·세종·충남,여,2316,2008,30대
전북,남,12202,2008,30대
전북,여,1479,2008,30대
광주·전남,남,18135,2008,30대
광주·전남,여,3357,2008,30대
경남,남,10501,2008,30대
경남,여,1070,2008,30대
제주,남,4064,2008,30대
제주,여,665,2008,30대
서울중앙,남,8554,2008,40대
서울중앙,여,1507,2008,40대
서울서부,남,7253,2008,40대
서울서부,여,1307,2008,40대
서울남부,남,9286,2008,40대
서울남부,여,1779,2008,40대
서울동부,남,6841,2008,40대
서울동부,여,2237,2008,40대
부산,남,7583,2008,40대
부산,여,1545,2008,40대
대구·경북,남,6540,2008,40대
대구·경북,여,1305,2008,40대
인천,남,5299,2008,40대
인천,여,1307,2008,40대
울산,남,4456,2008,40대
울산,여,506,2008,40대
경기,남,9049,2008,40대
경기,여,1415,2008,40대
강원,남,2225,2008,40대
