gender,job,region,year,count
남,대학생,대구·경북,2006,39130
남,대학생,인천,2006,14023
남,대학생,울산,2006,18068
남,대학생,경기,2006,21215
남,대학생,강원,2006,7713
남,대학생,충북,2006,19727
남,대학생,대전·세종·충남,2006,28933
남,대학생,전북,2006,27183
남,대학생,광주·전남,2006,45580
남,대학생,경남,2006,19653
남,대학생,제주,2006,4630
남,대학생,대한적십자사 외,2006,15132
남,군인,대한적십자사,2006,459355
남,군인,서울중앙,2006,69824
남,군인,서울서부,2006,22924
남,군인,서울남부,2006,40518
남,군인,서울동부,2006,49484
남,군인,부산,2006,14272
남,군인,대구·경북,2006,33621
남,군인,인천,2006,21332
남,군인,울산,2006,3833
남,군인,경기,2006,19382
남,군인,강원,2006,48757
남,군인,충북,2006,15147
남,군인,대전·세종·충남,2006,37366
남,군인,전북,2006,21195
남,군인,광주·전남,2006,26140
남,군인,경남,2006,30835
남,군인,제주,2006,4725
남,군인,대한적십자사 외,2006,2251
남,회사원,대한적십자사,2006,298862
남,회사원,서울중앙,2006,28319
남,회사원,서울서부,2006,21992
남,회사원,서울남부,2006,36289
남,회사원,서울동부,2006,20026
남,회사원,부산,2006,32273
남,회사원,대구·경북,2006,21893
남,회사원,인천,2006,14834
남,회사원,울산,2006,21285
남,회사원,경기,2006,30106
남,회사원,강원,2006,2506
남,회사원,충북,2006,6767
남,회사원,대전·세종·충남,2006,14921
남,회사원,전북,2006,8754
남,회사원,광주·전남,2006,19871
남,회사원,경남,2006,14929
남,회사원,제주,2006,4097
남,회사원,대한적십자사 외,2006,18159
남,공무원,대한적십자사,2006,45951
남,공무원,서울중앙,2006,3947
남,공무원,서울서부,2006,2008
남,공무원,서울남부,2006,2568
남,공무원,서울동부,2006,3062
남,공무원,부산,2006,3716
남,공무원,대구·경북,2006,3707
남,공무원,인천,2006,2521
남,공무원,울산,2006,1212
남,공무원,경기,2006,3805
남,공무원,강원,2006,1637
남,공무원,충북,2006,2384
남,공무원,대전·세종·충남,2006,3178
남,공무원,전북,2006,3034
남,공무원,광주·전남,2006,4755
남,공무원,경남,2006,2935
남,공무원,제주,2006,1482
남,공무원,대한적십자사 외,2006,518
남,자영업,대한적십자사,2006,53877
남,자영업,서울중앙,2006,4653
남,자영업,서울서부,2006,4477
남,자영업,서울남부,2006,5927
남,자영업,서울동부,2006,6428
남,자영업,부산,2006,6008
남,자영업,대구·경북,2006,4420
남,자영업,인천,2006,2916
남,자영업,울산,2006,1636
남,자영업,경기,2006,4478
남,자영업,강원,2006,979
남,자영업,충북,2006,1382
남,자영업,대전·세종·충남,2006,2093
남,자영업,전북,2006,1955
남,자영업,광주·전남,2006,3643
남,자영업,경남,2006,1873
남,자영업,제주,2006,1009
남,자영업,대한적십자사 외,2006,1354
남,종교직,대한적십자사,2006,5701
남,종교직,서울중앙,2006,583
남,종교직,서울서부,2006,431
남,종교직,서울남부,2006,702
남,종교직,서울동부,2006,629
남,종교직,부산,2006,360
남,종교직,대구·경북,2006,366
남,종교직,인천,2006,347
남,종교직,울산,2006,93
남,종교직,경기,2006,479
남,종교직,강원,2006,92
남,종교직,충북,2006,173
남,종교직,대전·세종·충남,2006,362
남,종교직,전북,2006,256
남,종교직,광주·전남,2006,580
남,종교직,경남,2006,137
남,종교직,제주,2006,111
남,종교직,대한적십자사 외,2006,188
남,가사,대한적십자사,2006,1136
남,가사,서울중앙,2006,121
남,가사,서울서부,2006,88
남,가사,서울남부,2006,76
남,가사,서울동부,2006,80
남,가사,부산,2006,227
남,가사,대구·경북,2006,98
남,가사,인천,2006,42
남,가사,울산,2006,42
남,가사,경기,2006,62
남,가사,강원,2006,8
남,가사,충북,2006,26
남,가사,대전·세종·충남,2006,48
남,가사,전북,2006,47
남,가사,광주·전남,2006,83
남,가사,경남,2006,45
남,가사,제주,2006,43
남,가사,대한적십자사 외,2006,29
남,기타,대한적십자사,2006,144666
남,기타,서울중앙,2006,14018
남,기타,서울서부,2006,17396
남,기타,서울남부,2006,15258
남,기타,서울동부,2006,13106
남,기타,부산,2006,18330
남,기타,대구·경북,2006,8469
남,기타,인천,2006,7110
남,기타,울산,2006,5767
남,기타,경기,2006,7800
남,기타,강원,2006,1960
남,기타,충북,2006,4108
남,기타,대전·세종·충남,2006,5760
남,기타,전북,2006,6553
남,기타,광주·전남,2006,12136
남,기타,경남,2006,3757
남,기타,제주,2006,3138
남,기타,대한적십자사 외,2006,4352
여,고등학생,대한적십자사,2006,172985
여,고등학생,서울중앙,2006,11792
여,고등학생,서울서부,2006,8978
여,고등학생,서울남부,2006,8661
여,고등학생,서울동부,2006,19926
여,고등학생,부산,2006,16306
여,고등학생,대구·경북,2006,15164
여,고등학생,인천,2006,16666
여,고등학생,울산,2006,6548
여,고등학생,경기,2006,9255
여,고등학생,강원,2006,2151
여,고등학생,충북,2006,6214
여,고등학생,대전·세종·충남,2006,10607
여,고등학생,전북,2006,11966
여,고등학생,광주·전남,2006,21301
여,고등학생,경남,2006,5225
여,고등학생,제주,2006,2225
여,고등학생,대한적십자사 외,2006,539
여,대학생,대한적십자사,2006,180701
여,대학생,서울중앙,2006,17755
여,대학생,서울서부,2006,5632
여,대학생,서울남부,2006,12000
여,대학생,서울동부,2006,13937
여,대학생,부산,2006,20191
여,대학생,대구·경북,2006,22163
여,대학생,인천,2006,7735
여,대학생,울산,2006,5803
여,대학생,경기,2006,8042
여,대학생,강원,2006,4277
여,대학생,충북,2006,7188
여,대학생,대전·세종·충남,2006,13518
여,대학생,전북,2006,13171
여,대학생,광주·전남,2006,21215
여,대학생,경남,2006,6293
여,대학생,제주,2006,1781
